name,time,Status
Baby_status,1710007160288535168,not crying
Baby_status,1710007165923979910,not crying
Baby_status,1710007170249595253,not crying
Baby_status,1710007175298342491,crying
Baby_status,1710007180427021963,crying
Baby_status,1710007186359057188,crying
Baby_status,1710007190403043468,crying
Baby_status,1710007195393127146,not crying
Baby_status,1710007200334423294,not crying
Baby_status,1710007206046462989,not crying
Baby_status,1710007210350539837,not crying
Baby_status,1710007215325384933,not crying
Baby_status,1710007220279316338,not crying
Baby_status,1710007226041956024,not crying
Baby_status,1710007230366003398,not crying
Baby_status,1710007235410257117,not crying
Baby_status,1710007240280464323,not crying
Baby_status,1710007246105636787,not crying
Baby_status,1710007250308743085,not crying
Baby_status,1710007255382732939,not crying
Baby_status,1710007260420827774,not crying
Baby_status,1710007266040179265,not crying
Baby_status,1710007270323419991,not crying
Baby_status,1710007275343716386,not crying
Baby_status,1710007280395958471,not crying
Baby_status,1710007285971755849,not crying
Baby_status,1710007290298243760,not crying
Baby_status,1710007295426985153,not crying
Baby_status,1710007300305401087,not crying
Baby_status,1710007305974536911,not crying
Baby_status,1710007310390715862,not crying
Baby_status,1710007315396279929,not crying
Baby_status,1710007320338423484,not crying
Baby_status,1710007325975267501,not crying
